1:...育"作为一个专有名很少出现，大多只单用一个"教"字，如《中庸》说："修道之谓教"[；]《荀子·修身》说："以善先人者谓之教"[；]《学记》说："教也者，长善而救其失者也"。在西方，教育一词源于...		  【文件名:\当代\CWAC\AEB0001.txt	文章标题:	作者:】
12:...育工作，成为一名合格的教师。有一种观点认为，只要学好某一门专业课，就能教好这门课[；]对那一门学科造诣深，教好这门学科的本领也就大，以为"学者即良师"。这种看法是片面的。诚然，一位合格的中学教师必须深入掌握所教学科的专业知识，否则是难以完成教学任务的。就这一点而言，学者和教师有共同之处。但学者未必能当好教师。这是因为教育对象是活生生的人，每个人都有自己的个性特点，他们的志趣、爱好、性格、才能千差万别。教师在进行教育工作时，既要遵照把学生培养成全面发展的社会主义新人的要求，又要考虑学生的年龄特征和个别差异[；]既要根据教学大纲要求进行教学，又要考虑学生的年龄特征和个别差异[；]既要根据教学大纲要求进行教学，又要考虑学生的基础和接受能力[；]既要认识学生是教育的对象，又要深信学生是有主观能动性的，是自我...		  【文件名:\当代\CWAC\AEB0001.txt	文章标题:	作者:】
13:...改革。改革管理体制，在加强宏观管理的同时，坚决实行简政放权，扩大学校的办学自主权[；]调整教育结构，相应地改革劳动人事制度，还要改革同社会主义现代化...		  【文件名:\当代\CWAC\AEB0001.txt	文章标题:	作者:】
14:...育学时，一方面要认真读书，聆听教师的讲解，努力吸取前人已取得的教育科学方面的成果[；]另一方面要努力进行独立思考，培养分析问题和解决问题的能力。学好...		  【文件名:\当代\CWAC\AEB0001.txt	文章标题:	作者:】
15:...教育经济学家研究认为，在第一个五年计划期间，我国教育收益占国民收入增长额的24％[；]1964-1987年期间教育对国民收入增长额的贡献为36％左右...		  【文件名:\当代\CWAC\AEB0001.txt	文章标题:	作者:】
16:...方面。一是"建国君民"，以教学为先。如古代的《学记》提出："建国君民，教学为先"[；]"君子如欲化民成俗，其必由学乎"。二是实行政治改革，以培养人才...		  【文件名:\当代\CWAC\AEB0001.txt	文章标题:	作者:】
17:...育。例如，文化的发展常会成为教育发展的动力，民族文化的特点往往形成教育的民族模式[；]而民族文化素质与水平往往成为教育发展的阈限。值得注意的是作为教...		  【文件名:\当代\CWAC\AEB0001.txt	文章标题:	作者:】
18:...一切文化都寓于一定的载体之中。文化载体通常有三种：（1）物质载体，如工具、建筑等[；]（2）精神载体，如语言、文字、意识形态等[；]（3）人的戴体，如个人所拥有的知识、道德等。物质和精神载体中的...		  【文件名:\当代\CWAC\AEB0001.txt	文章标题:	作者:】
19:...信息系统进行传播，这是文化传播的一种规律。如见之于文字的文化，无法向一个文盲传播[；]将外国文化向不懂该国语言或不了解该文化背景的人传播，就会发生困...		  【文件名:\当代\CWAC\AEB0001.txt	文章标题:	作者:】
20:　　1、促进人的先天素质得到发，使生理、心理素质得以呈现[；]		  【文件名:\当代\CWAC\AEB0001.txt	文章标题:	作者:】
21:　　2、把人类在历史进程中所形成的人类精神文明移植于个体之中[；]		  【文件名:\当代\CWAC\AEB0001.txt	文章标题:	作者:】
22:　　早在社会主义现代化建设的初期，邓小平同志就指出，实现现代化，关键是科技要上去[；]科技人才的培养，基础在教育。在邓小平建设有中国特色社会主义理论...		  【文件名:\当代\CWAC\AEB0001.txt	文章标题:	作者:】
23:...，总结40年来的经验教训，可归结为：教育健康发展可以促进社会主义经济建设健康发展[；]教育方面的失误会对经济建设造成严重的阻碍作用。"文革"十年对教...		  【文件名:\当代\CWAC\AEB0001.txt	文章标题:	作者:】
24:...继承下来的解剖生理学上的特点，它表现为"人本身的自然力"，是素质结构中的物质基础[；]（2）心理层面，指人们的心理品质，包括在认识、情感、意志过程中表现出来的认识兴趣与能力、社会适应与情绪调控能力，自我意识与意志品质等，它是人脑的特殊机能[；]（3）社会文化层面，指人们的文化科学知识水平、思想政治道德水平...		  【文件名:\当代\CWAC\AEB0001.txt	文章标题:	作者:】
25:...素质，包括劳动者的素质。这种素质的社会文化层面，是全面发展的教育在学生身上的体现[；]而心理层面，是学生在接受全面发展教育的过程中发展起来的。		  【文件名:\当代\CWAC\AEB0001.txt	文章标题:	作者:】
26:...行一场新技术革命。一个国家生产力的发展，国民经济的增长，越来越依靠科学技术的进步[；]一个国家的科学技术水平和运用科学技术的能力，越来越成为衡量综合国力的重要指标。邓小平同志以马克思主义者的真知灼见，敏锐地认清了这场新技术革命的实质，明确指出："现代科学技术正在经历着一场伟大的革命。近三十年来，现代科学技术不只是在个别的科学理论上、个别的生产技术上获得了发展，也不只是有了一般意义上的进步和改革[；]而是几乎各门科学技术领域都发生了深刻的变化，出现了新的飞跃，产...		  【文件名:\当代\CWAC\AEB0001.txt	文章标题:	作者:】
27:...统性特征，例如在整个结构上德育、智育、体育、美育、劳动技术教育形成一个统一的系统[；]在德育方面，政治立场，思想意识、道德品质是一个系统，知、情、意、行又是一个系统[；]在知识结构上，政治理论、科学技术、人文知识是一个系统[；]在智能结构上，知识、智力、技能等又是一个系统。所有这些便成了学...		  【文件名:\当代\CWAC\AEB0001.txt	文章标题:	作者:】
28:　　（1）全国基本普及九年义务教育（包括初中阶段的职业技术教育）[；]大城市市区和沿海经济发达地区积极普及高中阶段教育。大中城市基本...		  【文件名:\当代\CWAC\AEB0001.txt	文章标题:	作者:】
29:...展中起主导作用，教育者必须有良好的品德素养、文化科学知识素养和教育、心理科学素养[；]教育必须与人的身心发展规律相适应、与学生的年龄特征相适应[；]教育活动必须充分发挥受教育者的主观能动性。初中阶段是人的身心发展的关键时期[；]初中教育对人一生的发展有着至关重要的意义。		  【文件名:\当代\CWAC\AEB0001.txt	文章标题:	作者:】
30:...人的生理发展指人身体各系统、各器官、各组织的生长、发育和机能和成熟以及体质的增强[；]人的心理发展指感知觉、记忆、思维、想象、情感、意志等心理活动能...		  【文件名:\当代\CWAC\AEB0001.txt	文章标题:	作者:】
31:...中年期、老年期等阶段。每个阶段在生理上都有其自己的特征。幼儿期身高体重增长速度快[；]童年期身体发育比较平稳，骨骼硬度小，韧性大、易变形，大肌肉群比小肌肉群先发展，大脑发育快，脑重量逐渐接的成人[；]少年期进入了迅速发育的青春期，身体猛长，体内机能和神经系统发育趋于健全，出现了第二性征，性逐步成熟[；]青年期身体发育已经完成。心理发展了同样有明显的阶段性，在童年期...		  【文件名:\当代\CWAC\AEB0001.txt	文章标题:	作者:】
32:...差异，具有一定的可变性。如解放后的青少年儿童就超过解放前同龄青少年儿童的发展水平[；]80年代的青少年儿童身心发展水平与50、60年代的同龄人也有明...		  【文件名:\当代\CWAC\AEB0001.txt	文章标题:	作者:】
33:...认识能力有不同，兴趣爱好不一样，个性差异很大。有的长于抽象思维，有的长于形象思维[；]有的喜欢文学，有的爱好音乐[；]有的具有表演的才能，有的具有组织的才能[；]有的热情奔放，有的沉着冷静[；]有的粗疏泼辣，有的细致谨慎。即使是同卵的孪生子，他们的生理和心...		  【文件名:\当代\CWAC\AEB0001.txt	文章标题:	作者:】
34:...遗传对个体身心发展的影响，具体表现为：遗传素质的成熟水平制约着个体身心的发展水平[；]遗传素质的个别差异在一定程度上制约着个体的身心发展差异。"成熟...		  【文件名:\当代\CWAC\AEB0001.txt	文章标题:	作者:】
35:...环境，可按不同的标准作出不同的分类。按环境本身的内容分，可分为自然环境和社会环境[；]按是否特意为人的身心发展而予以组织分，则可以分为特意组织起来的...		  【文件名:\当代\CWAC\AEB0001.txt	文章标题:	作者:】
36:...往关系和利益交往关系，使人在交往中逐步掌握作为交往工具的语言，把握思想和行为规范[；]正是社会意识形态，为个体的心理发展提供社会的、自然的、思维的知...		  【文件名:\当代\CWAC\AEB0001.txt	文章标题:	作者:】
37:...怎样接受环境的影响，归根到底要由人本身负责。同样处于逆境，有的人沉沦，有的人奋起[；]同样处于顺境，有的人玩物丧志，有的人锐意进取，道理就在于此。因...		  【文件名:\当代\CWAC\AEB0001.txt	文章标题:	作者:】
38:...影响力的大小讲，比起遗传素质和自发的社会环境的影响，教育对人的发展的影响力来得大[；]二是从影响的结果讲，教育能把遗传所提供的人的发展的可能性和环境...		  【文件名:\当代\CWAC\AEB0001.txt	文章标题:	作者:】
39:...生的骨骼在迅速生长着，但骨骼的钙化程度尚未达成人的水平，骨骼容易变形、弯曲和损伤[；]同样，初中生体重猛增，可是肌肉的拉力强度仍然较弱，显得比较娇嫩...		  【文件名:\当代\CWAC\AEB0001.txt	文章标题:	作者:】
40:...所谓第二性征的变化是指体态上出现的新的特征，如男少年变音、甲状软骨增大、出现胡须[；]女少年变音、乳腺发育、皮下脂肪增多等等。我国男女儿童性萌发、成...		  【文件名:\当代\CWAC\AEB0001.txt	文章标题:	作者:】
41:...点，一是情感丰富而外露，易偏激，不太稳定，情绪振奋时洋洋自得，情绪低落时沮丧消极[；]二是情感的个人体验日益深刻，自我控制能力有了发展[；]三是情感的社会内容日益增加，对英雄模范人物能激起强烈的爱，对国...		  【文件名:\当代\CWAC\AEB0001.txt	文章标题:	作者:】
42:...教育试点对性道德的归纳是可以作为参考依据的。性道德可以归纳为：男女平等，尊重女性[；]互相理解、尊重和帮助[；]男女交往的礼义和规范[；]发展支谊，尊重人格[；]珍惜感情，自我保护，防范不正当行为[；]珍惜年华。显然，这些性道德教育的内容，是根据青少年特点提出来的...		  【文件名:\当代\CWAC\AEB0001.txt	文章标题:	作者:】
43:...1106例。据专家估计，到2000年，此病按低速传播，我国也将有5。5万名感染者[；]按高速传播，感染者将达到27万人，发病人数可达5万人，经济损失...		  【文件名:\当代\CWAC\AEB0001.txt	文章标题:	作者:】
44:...布的教育法令明确规定：牧师和学校教师，应将6-12岁的男女儿童的名单造册报送学校[；]上述年龄的儿童必须到学校读书。还规定：不愿送儿童入学的父母，"...		  【文件名:\当代\CWAC\AEB0001.txt	文章标题:	作者:】
45:...年颁布《小学校令》，规定对儿童实行4年义务教育，实际上大多为三年，学费由家长负担[；]1890年开始实行四年制（6-10岁）免费义务教育[；]1907年日本又把义务教育年限延长为6年，规定受教育与服兵役、...		  【文件名:\当代\CWAC\AEB0001.txt	文章标题:	作者:】
46:...联系，却是不相同的。从世界各国的实践来看，有的国家先实行免费教育，后实行义务教育[；]有的国家先实行义务教育，后实行免费教育[；]多数国家则在颁布义务教育是达到普及国民基础教育的两个相辅相成的...		  【文件名:\当代\CWAC\AEB0001.txt	文章标题:	作者:】
47:...务教育法，一般需要做这样四方面的工作：（1）调查清楚应受义务教育对角的数量和情况[；]（2）建立稳定、可靠、数量足够而又能不断增长的经费来源[；]（3）培养足够的师资[；]（4）采取动员、督促和强制学龄儿童入学的具体措施。		  【文件名:\当代\CWAC\AEB0001.txt	文章标题:	作者:】
48:...6年颁布的《小学校令》规定，一类学校四年制，全年上课44周，学生要缴相当高的学费[；]另一类小学学习年限不到三年，每天仅上三节课，但可免缴学费。到1...		  【文件名:\当代\CWAC\AEB0001.txt	文章标题:	作者:】
49:...城市和沿海一部分经济、文化都比较发达的农村，已开始有步骤地直接实施九年制义务教育[；]其他农村地区，一般先实施五年或六年初等义务教育，以最大限度地杜...		  【文件名:\当代\CWAC\AEB0001.txt	文章标题:	作者:】
50:...化。农村尤其是经济发展程度较低的地区，初中应适时注入适合本地区需要的职业教育内容[；]也可以在初中教育的一定阶段，实行普通教育与职业教育分流[；]有的地区可试办职业初中。贫困地区还可采取正规教育与非正规教育相...		  【文件名:\当代\CWAC\AEB0001.txt	文章标题:	作者:】
51:...组织或者个人招用应该接受义务教育的适龄儿童、少年就业（包括做工、经商、当学徒等）[；]任何组织或才个人不得侵占、克扣、挪用义务教育经费，不得扰乱教学秩序，不得侵占、破坏学校的场地、房屋和设备[；]禁止侮辱、殴打教师[；]宗教活动不得妨碍义务教育实施，等等。这些都保证义务教育在全社会...		  【文件名:\当代\CWAC\AEB0001.txt	文章标题:	作者:】
52:...会主义方向，实行教育与生产劳动相结合，对学生进行德育、智育、体育、美育和劳动教育[；]根据城乡经济和社会发展的需要，以及学生身心发展的状况，积极进行教育、教学改革，使学生身心都得到健康的发展[；]必须严格按照国务院教育主管部门发布的指导性教育计划、教学大纲和省级教育主管部门制订的教学计划，进行教育教学活动，不断提高教育、教学质量[；]使用经国务院教育主管部门审定或者由其授权的省级教育主管部门审定...		  【文件名:\当代\CWAC\AEB0001.txt	文章标题:	作者:】
53:...家对接受义务教育的学生免收学费的规定，但可按省级政府和有关主管部门的规定收取杂费[；]同时学校不得自行扩大收费的项目前提高收费的标准。学校要推广普通...		  【文件名:\当代\CWAC\AEB0001.txt	文章标题:	作者:】
54:...，因地制宜。既不能不管现实的可能，盲目攀比，片面追求高速度，或者以牺牲质理求速度[；]又不应看不到实施义务教育的紧迫性，消极等待。		  【文件名:\当代\CWAC\AEB0001.txt	文章标题:	作者:】
55:...的和培养目标。如毛泽东主席在1957年提出的培养"有社会主义觉悟有文化的劳动者"[；]邓小平同志在1985年提出的成为"有理想、有道德、有文化、有纪...		  【文件名:\当代\CWAC\AEB0001.txt	文章标题:	作者:】
56:...任何个人都不能把自己的生产劳动这个人类生存的自然条件中所应参加的部分推到别人身上[；]另一方面，生产劳动给每一个人提供全面发展和表现自己全部的即体力...		  【文件名:\当代\CWAC\AEB0001.txt	文章标题:	作者:】
57:...例如，两千多年前我国孔子所讲的智、仁、勇，即所谓"智者不惑，仁者不扰，勇者不惧"[；]孟子主张培养"富贵不能淫，贫贱不能移，威武不能屈"的具有浩然之气的"大丈夫"[；]近代的人民教育家陶行知主张造就手脑并用、在劳动上劳心的体脑结合的新一代。认为乡村学校应培养青少年儿童具有："一、健康的体魄[；]二、农夫的身手[；]三、科学的头脑[；]四、艺术的兴趣[；]五、改造社会的精神。 		  【文件名:\当代\CWAC\AEB0001.txt	文章标题:	作者:】
58:...型课程是解决学生需要学习的知识日益增多，而学校教育时间有限这一矛盾的一种有效手段[；]它可以充分发挥追踪科技新进展和促进、引导学生分流[；]可以进一步加强学科与学科之间、理论知识与实际运用之间、学校与外...		  【文件名:\当代\CWAC\AEB0001.txt	文章标题:	作者:】
59:...社会因素对课程的共同需求主要体现在：（1）对培养新的劳动者和新的政治继承人的需要[；]（2）对更新课程内容的要求[；]（3）对课程设计思想的影响。但社会因素对课程的需求往往不是直接...		  【文件名:\当代\CWAC\AEB0001.txt	文章标题:	作者:】
60:　　综上所述，社会需求决定了学校课程发展的方向[；]知识更新促进了课程内容的更新及组织形式的改变[；]学生身心发展强烈影响各学段的课程计划、课程标准及教材组织。制约...		  【文件名:\当代\CWAC\AEB0001.txt	文章标题:	作者:】
61:...生活。但也存在两大问题：一是教科书怎样把学科的知识综合起来才好，这难以很好地解决[；]二是师资问题。过去培养的师资，专业划分地细，不适应广域课程的教...		  【文件名:\当代\CWAC\AEB0001.txt	文章标题:	作者:】
62:...验。泰勒提出了选择学习经验的五条原则：①必须使学生有机会去实践目标中所包含的行为[；]②必须使学生在实践上述行为时有满足感[；]③所选择的学习经验应在学生能力所及范围中[；]④多种经验可用来达到同一目标[；]⑤同一经验也产生数种结果。		  【文件名:\当代\CWAC\AEB0001.txt	文章标题:	作者:】
63:　　①分析学校教育目标[；]		  【文件名:\当代\CWAC\AEB0001.txt	文章标题:	作者:】
64:　　②了解学生身心发展[；]		  【文件名:\当代\CWAC\AEB0001.txt	文章标题:	作者:】
65:　　③研究学生已有的知识程度[；]		  【文件名:\当代\CWAC\AEB0001.txt	文章标题:	作者:】
66:　　④调查经济建设和社会发展的需要[；]		  【文件名:\当代\CWAC\AEB0001.txt	文章标题:	作者:】
67:　　⑤调查学生个人的生活需要（既要满足于当前需要，也要着眼于未来）[；]		  【文件名:\当代\CWAC\AEB0001.txt	文章标题:	作者:】
68:　　⑥确定采用的课程类型（学科课程、活动课程等）[；]		  【文件名:\当代\CWAC\AEB0001.txt	文章标题:	作者:】
69:　　①分析本学科的目的要求[；]		  【文件名:\当代\CWAC\AEB0001.txt	文章标题:	作者:】
70:...，包括教材的广度和深度、传统内容和先进科学知识、理论与实践、各门学科的分工与联系[；]		  【文件名:\当代\CWAC\AEB0001.txt	文章标题:	作者:】
71:　　③拟定各部分教材的教学时间[；]		  【文件名:\当代\CWAC\AEB0001.txt	文章标题:	作者:】
72:　　④设计本学科参观、访问、调查、实验、实习等项目，并给这些活动安排适当的时间[；]		  【文件名:\当代\CWAC\AEB0001.txt	文章标题:	作者:】
73:　　⑤考虑本学科的前后衔接，本学科同其他学科的关系[；]		  【文件名:\当代\CWAC\AEB0001.txt	文章标题:	作者:】
74:　　①研究有关的教学计划和教学大纲[；]		  【文件名:\当代\CWAC\AEB0001.txt	文章标题:	作者:】
75:　　②研究古今中外有关的教科书[；]		  【文件名:\当代\CWAC\AEB0001.txt	文章标题:	作者:】
76:　　③了解教科书适用年级的儿童已有的准备程度[；]		  【文件名:\当代\CWAC\AEB0001.txt	文章标题:	作者:】
77:　　④按教学大纲要求选择[；]		  【文件名:\当代\CWAC\AEB0001.txt	文章标题:	作者:】
78:　　⑤考虑教材结构，如教材有哪几部分，由哪几种形式组成[；]		  【文件名:\当代\CWAC\AEB0001.txt	文章标题:	作者:】
79:　　⑥研究教材的组织，把知识技能排列成便于教学的序[；]		  【文件名:\当代\CWAC\AEB0001.txt	文章标题:	作者:】
80:　　九年义务教育课程改革的指导思想是：教育要面向现代化，面向世界，面向未来[；]要坚定不移地贯彻国家的教育方针，坚持教育为社会主义建设服务，教育与生产劳动相结合[；]要对学生进行德育、智育、体育、美育和劳动技术教育，从而全面提高...		  【文件名:\当代\CWAC\AEB0001.txt	文章标题:	作者:】
81:...程改革的原则是：把坚定正确的政治方向放在第一位，以人类社会的优秀文化成果教育学生[；]面向全体学生，注重全面打好基础，因材施教，促进学生个性的健康发展[；]根据儿童、少年身心发展规律，合理安排课程，注意教学要求和课业负担适当[；]从我国实际出发，注意城乡各类地区的不同特点，坚持统一性与灵活性...		  【文件名:\当代\CWAC\AEB0001.txt	文章标题:	作者:】
82:　　（1）增强初中历史、地理和四年制初中思想政治课的课时[；]从小学三年级起开设课，着重进行历史、地理方面的教学，做到从小学...		  【文件名:\当代\CWAC\AEB0001.txt	文章标题:	作者:】
83:...规定各级学校的课程瞟、学科设置、各年级各学科每周教学时数、课外活动的要求和时数等[；]后者根据前才具体规定各学科教学目标、教材纲要、教学要点、教学时数和编订教材的基本要求等。1952年以后，称前者为"教学计划"，后者为"教学大纲"。国家教委在制定九年义务教育的计划时，把"教学计划"更名为"课程计划"，主要原因是：第一，这一计划的核心是课程设置和结构，而课程结构与前几次教学计划相比较，已有较大的突破，如将活动纳入课程，增设了选修课，增加了职业预备教育的内容等[；]既有教师组织指导下的各种教育、教学活动，也有由学生个体或群体自...		  【文件名:\当代\CWAC\AEB0001.txt	文章标题:	作者:】
84:　　附一：学年时间安排表[；]		  【文件名:\当代\CWAC\AEB0001.txt	文章标题:	作者:】
85:　　附二：调整后的九年义务教育"六?三"学制全日制小学、初级中学课程安排表[；]		  【文件名:\当代\CWAC\AEB0001.txt	文章标题:	作者:】
86:　　教科书是教师上课、学生学习的基本材料，教师要熟练地掌握和运用教科书的全部内容[；]学生要学会运用教科书，深刻领会教科书的内容。		  【文件名:\当代\CWAC\AEB0001.txt	文章标题:	作者:】
87:...会的义务。谁违反这个义务，谁就要受到法律的规范。家长不送学生上学，家长要承担责任[；]学校不接受适龄儿童、少年上学，学校要承担责任[；]学校不提供相应的条件，也要受到法律的规范。		  【文件名:\当代\CWAC\AEE0002.txt	文章标题:	作者:】
88:...，由于经费不足，一些农村中小学不仅没有专门的实验室，甚至连做演示实验的条件都没有[；]由于基层财政困难，一些农村学校的校长为了保证学校的正常运转，不...		  【文件名:\当代\CWAC\AEE0002.txt	文章标题:	作者:】
89:...各级政府将义务教育经费纳入财政预算，按照标准拨付经费，确保义务教育经费的逐步增长[；]对在公办学校接受义务教育的适龄儿童、少年，不得收取学费，并逐步...		  【文件名:\当代\CWAC\AEE0002.txt	文章标题:	作者:】
90:...防止教学过于偏重智力的倾向。为此草案规定，学校应把德育放在首位，形成德育教育体系[；]应保证学生的课外活动时间，组织学生开展社会实践、文化娱乐等课外活动[；]不得以任何名义编排重点班。		  【文件名:\当代\CWAC\AEE0002.txt	文章标题:	作者:】
91:...按照课程设置方案和课程标准开展教育教学活动，不得违反课程设置方案增加或者删减课程[；]应当按照课程设置方案和课程标准实施体育、艺术和综合实践的教学活...		  【文件名:\当代\CWAC\AEE0002.txt	文章标题:	作者:】
92:...考核，应当综合考察其完成教育教学任务和培养学生的情况，不得仅以升学率作为考核标准[；]对学生的考察，应当综合考察德、智、体、美等方面全面发展的情况，...		  【文件名:\当代\CWAC\AEE0002.txt	文章标题:	作者:】
93:　　-保障教师待遇。草案明确规定，各级政府应当采取措施改善教师工作和生活条件[；]公办学校教师的平均工资水平应当不低于或者高于当地公务员相应人员...		  【文件名:\当代\CWAC\AEE0002.txt	文章标题:	作者:】
94:...师应当遵守宪法、法律和职业道德，为人师表，不断提高思想政治觉悟和教育教学业务水平[；]应当遵守学校规章制度，执行学校的教学计划，履行教师职责，完成教...		  【文件名:\当代\CWAC\AEE0002.txt	文章标题:	作者:】
95:...规定：在教育教学中应当平等对待学生，尊重学生的人格，使每个学生都能得到充分的发展[；]不得以任何名义编排设置重点班，不得因个人特征歧视学生，不得对学生实施体罚或者其他侮辱人格尊严的行为[；]不得违反规定开除学生。		  【文件名:\当代\CWAC\AEE0002.txt	文章标题:	作者:】
96:...方面，草案要求县级政府教育主管部门编制本部门预算时要向农村学校和城市薄弱学校倾斜[；]国务院和县级以上地方政府设立专项资金，扶持农村等经济欠发达地区...		  【文件名:\当代\CWAC\AEE0002.txt	文章标题:	作者:】
97:...在师资力量方面，草案要求县级政府教育主管部门采取措施，促进学校师资力量均衡配置[；]应组织公办学校骨干教师巡回授课，紧缺专业教师流动教学，公办学校...		  【文件名:\当代\CWAC\AEE0002.txt	文章标题:	作者:】
98:...，草案要求各级政府部门应当促进学校均衡发展，不得以任何名义将学校分为重点和非重点[；]县级以上政府教育主管部门应当采取措施缩小差距等等。		  【文件名:\当代\CWAC\AEE0002.txt	文章标题:	作者:】
99:...习和发教辅书进行乱收费。草案明确规定，在课程标准范围内开展教育教学活动，不得收费[；]向学生发放教科书以外的其他书籍、资料，不得收费。有关专家表示，...		  【文件名:\当代\CWAC\AEE0002.txt	文章标题:	作者:】
100:...双管齐下的措施。"一方面增加义务教育投入，防止学校因运转经费不足向学生和家长伸手[；]另一方面，通过上述禁止性规定，则可防止个别学校和教师巧立名目，...		  【文件名:\当代\CWAC\AEE0002.txt	文章标题:	作者:】
101:　　（一）2006年，西部地区农村义务教育阶段中小学生全部免除学杂费[；]中央财政同时对西部地区农村义务教育阶段中小学安排公用经费补助资金，提高公用经费保障水平[；]启动全国农村义务教育阶段中小学校校舍维修改造资金保障新机制。		  【文件名:\当代\CWAC\AEE0002.txt	文章标题:	作者:】
102:　　（二）2007年，中部地区和东部地区农村义务教育阶段中小学生全部免除学杂费[；]中央财政同时对中部地区和东部部分地区农村义务教育阶段中小学安排...		  【文件名:\当代\CWAC\AEE0002.txt	文章标题:	作者:】
103:...公用经费全部达到该省（区、市）2005年秋季学期开学前颁布的生均公用经费基本标准[；]中央财政安排资金扩大免费教科书覆盖范围。		  【文件名:\当代\CWAC\AEE0002.txt	文章标题:	作者:】
